Rule_ID,Section,Pattern,When,Why,Do,Language_Marker,TierA_Support,TierB_Validation,Counterexamples,Temporal_Coverage,Topic_Coverage,Venue_Coverage,Confounds,Confidence,Whitelist,Avoid
CX3,Construct,above-mentioned回指,见R6,见R6,见R6,above-mentioned(29次18次在Front),见R6,一致,拼写不统一属笔误习惯,2011-2025,全覆盖,全部,通用学术英语,medium/low,no,见R6
CX4,Construct,slightly作让步关键副词,见RS4,见RS4,见RS4,slightly(20次18次在Results),见RS4,09/10退化,见RS4,2016-2023,smoke+medical,全部,执笔人敏感,high,yes,见RS4
RD1,Reasoning,信息缺失式诊断与模块命名闭环,见X2,见X2,见X2,见X2,见X2,见X2,见X2,2016-2026,全覆盖,全部,无,high,yes,见X2
RD2,Reasoning,互补双路让两分支承担不对称角色再专门设计融合,方法涉及两类互补表示,不用裸concat或add了事,并列两条路各司其职;把融合本身当成一个需要单独设计的模块,Dual-/Bi-/complementary/Feature Complementary Module,12篇TierA,09/10 成立,"12与13的元论证句几乎同句且共用引用[33]独立证据实为两组",2016-2026,全覆盖,全部,文本复用,high,yes,方法无对偶性时不得硬造;不得用裸concat当融合
RD3,Reasoning,任务粒度阶梯与升级论证,见T5,见T5,见T5,provides more information than ... but far more challenging,见T5,不适用,非烟雾五篇不参与,2011-2022,仅smoke,全部,主题条件,high(限smoke),yes(限smoke),见T5
RD4,Reasoning,代价维度是一等目标,见RS8,见RS8,见RS8,less than 1 M network parameters,见RS8,09/10 成立,无,2022-2026,全覆盖,全部,无,high(轻量类),yes,见RS8
RD5,Reasoning,阈值敏感性是最持久的攻击点,批评传统方法,他最常用的落点,指出方法依赖预先指定阈值且阈值随场景变化;对应设计用可学习量替代人工阈值,pre-specified thresholds,5篇TierA,一致,深度学习时代已换成感受野与长程依赖攻击点,2011-2021,主要smoke,全部,年代条件,high(2011-2021),yes(限早期风格),写当代论文不得套用
RD6,Reasoning,问题模块贡献消融图表五者互相镜像,全文自洽性检查,读者可逐项对照,难点数与贡献数与模块数与消融变体数与图面板组数保持对应,38/45模块有对应消融,8篇TierA,09/10 成立,"21/30/31/17无消融",2018-2026,全覆盖,全部,无,high,yes,不得出现Methods有但消融未测的模块
RD7,Reasoning,借用外部数学工具时先复述再改造,见M7,见M7,见M7,见M7,见M7,不适用,见M7,2011-2025,全覆盖,全部,触发条件是是否借用工具,high,yes,见M7
RD8,Reasoning,元层面统一把已有方法纳入同一坐标系再取新点,极少数情况,贡献是参数化框架而非模块,先把竞争先验统一到一条曲线上指出各自对应的点;再提出取一个可调的点,a framework for unifying and understanding these priors,1篇(11 A2),不适用,单篇,2021,dehazing,Pattern Recognition,单篇依赖,low,no(留档),不得声称这是他的常规做法
